series,cracker,charset,N,L,target_type,target,guesses,found,mean_time_s
A,BruteForce,lowercase,26,1,random,"k",11,true,0.000007
A,Heuristic,lowercase,26,1,random,"k",7266,false,0.002624
A,BruteForce,lowercase,26,1,random,"z",26,true,0.000021
A,Heuristic,lowercase,26,1,random,"z",7266,false,0.001243
A,BruteForce,lowercase,26,1,random,"a",1,true,0.000001
A,Heuristic,lowercase,26,1,random,"a",7266,false,0.000897
A,BruteForce,lowercase,26,1,random,"p",16,true,0.000005
A,Heuristic,lowercase,26,1,random,"p",7266,false,0.001126
A,BruteForce,lowercase,26,1,random,"q",17,true,0.000003
A,Heuristic,lowercase,26,1,random,"q",7266,false,0.001106
A,BruteForce,lowercase,26,2,random,"ad",30,true,0.000010
A,Heuristic,lowercase,26,2,random,"ad",7266,false,0.001365
A,BruteForce,lowercase,26,2,random,"vm",585,true,0.000111
A,Heuristic,lowercase,26,2,random,"vm",7266,false,0.000485
A,BruteForce,lowercase,26,2,random,"hm",221,true,0.000051
A,Heuristic,lowercase,26,2,random,"hm",7266,false,0.000556
A,BruteForce,lowercase,26,2,random,"up",562,true,0.000160
A,Heuristic,lowercase,26,2,random,"up",7266,false,0.000880
A,BruteForce,lowercase,26,2,random,"kv",308,true,0.000078
A,Heuristic,lowercase,26,2,random,"kv",7266,false,0.002996
A,BruteForce,lowercase,26,3,random,"obz",10218,true,0.000918
A,Heuristic,lowercase,26,3,random,"obz",7266,false,0.000782
A,BruteForce,lowercase,26,3,random,"wwb",16148,true,0.002759
A,Heuristic,lowercase,26,3,random,"wwb",7266,false,0.001048
A,BruteForce,lowercase,26,3,random,"zew",17729,true,0.001046
A,Heuristic,lowercase,26,3,random,"zew",7266,false,0.000609
A,BruteForce,lowercase,26,3,random,"gnr",5114,true,0.000299
A,Heuristic,lowercase,26,3,random,"gnr",7266,false,0.000186
A,BruteForce,lowercase,26,3,random,"phi",11033,true,0.000467
A,Heuristic,lowercase,26,3,random,"phi",7266,false,0.000384
A,BruteForce,lowercase,26,4,random,"gtsn",137060,true,0.005713
A,Heuristic,lowercase,26,4,random,"gtsn",7266,false,0.000168
A,BruteForce,lowercase,26,4,random,"prmq",293739,true,0.012642
A,Heuristic,lowercase,26,4,random,"prmq",7266,false,0.000144
A,BruteForce,lowercase,26,4,random,"ybpe",441173,true,0.036040
A,Heuristic,lowercase,26,4,random,"ybpe",7266,false,0.000309
A,BruteForce,lowercase,26,4,random,"kgxs",198711,true,0.010875
A,Heuristic,lowercase,26,4,random,"kgxs",7266,false,0.000265
A,BruteForce,lowercase,26,4,random,"jvhu",190861,true,0.008304
A,Heuristic,lowercase,26,4,random,"jvhu",7266,false,0.000131
A,BruteForce,lowercase,26,5,random,"tfxpq",9261633,true,0.401304
A,Heuristic,lowercase,26,5,random,"tfxpq",7266,false,0.000117
A,BruteForce,lowercase,26,5,random,"rvyzp",8629832,true,0.378529
A,Heuristic,lowercase,26,5,random,"rvyzp",7266,false,0.000121
A,BruteForce,lowercase,26,5,random,"ogqsk",6989669,true,0.300702
A,Heuristic,lowercase,26,5,random,"ogqsk",7266,false,0.000121
A,BruteForce,lowercase,26,5,random,"ifsud",4231634,true,0.182102
A,Heuristic,lowercase,26,5,random,"ifsud",7266,false,0.000121
A,BruteForce,lowercase,26,5,random,"imaeb",4342080,true,0.186854
A,Heuristic,lowercase,26,5,random,"imaeb",7266,false,0.000113
B,BruteForce,numeric,10,3,random,"712",823,true,0.000029
B,Heuristic,numeric,10,3,random,"712",7266,false,0.000114
B,BruteForce,numeric,10,3,random,"856",967,true,0.000033
B,Heuristic,numeric,10,3,random,"856",7266,false,0.000116
B,BruteForce,numeric,10,3,random,"239",350,true,0.000012
B,Heuristic,numeric,10,3,random,"239",7266,false,0.000155
B,BruteForce,numeric,10,3,random,"815",926,true,0.000033
B,Heuristic,numeric,10,3,random,"815",7266,false,0.000116
B,BruteForce,numeric,10,3,random,"672",783,true,0.000028
B,Heuristic,numeric,10,3,random,"672",7266,false,0.000115
B,BruteForce,lowercase,26,3,random,"ham",5447,true,0.000185
B,Heuristic,lowercase,26,3,random,"ham",7266,false,0.000114
B,BruteForce,lowercase,26,3,random,"bfr",1526,true,0.000049
B,Heuristic,lowercase,26,3,random,"bfr",7266,false,0.000111
B,BruteForce,lowercase,26,3,random,"itw",6627,true,0.000222
B,Heuristic,lowercase,26,3,random,"itw",7266,false,0.000109
B,BruteForce,lowercase,26,3,random,"clh",2348,true,0.000074
B,Heuristic,lowercase,26,3,random,"clh",7266,false,0.000115
B,BruteForce,lowercase,26,3,random,"iac",6113,true,0.000209
B,Heuristic,lowercase,26,3,random,"iac",7266,false,0.000112
B,BruteForce,alphanumeric,62,3,random,"wnL",89318,true,0.002798
B,Heuristic,alphanumeric,62,3,random,"wnL",7266,false,0.000121
B,BruteForce,alphanumeric,62,3,random,"DU8",118295,true,0.003688
B,Heuristic,alphanumeric,62,3,random,"DU8",7266,false,0.000115
B,BruteForce,alphanumeric,62,3,random,"hnq",31637,true,0.001012
B,Heuristic,alphanumeric,62,3,random,"hnq",7266,false,0.000119
B,BruteForce,alphanumeric,62,3,random,"Wdm",188617,true,0.006543
B,Heuristic,alphanumeric,62,3,random,"Wdm",7266,false,0.000117
B,BruteForce,alphanumeric,62,3,random,"HoZ",131678,true,0.004447
B,Heuristic,alphanumeric,62,3,random,"HoZ",7266,false,0.000119
B,BruteForce,ascii,95,3,random,"<;Z",729557,true,0.023081
B,Heuristic,ascii,95,3,random,"<;Z",7266,false,0.000121
B,BruteForce,ascii,95,3,random,"OLP",373677,true,0.011873
B,Heuristic,ascii,95,3,random,"OLP",7266,false,0.000113
B,BruteForce,ascii,95,3,random,",L]",671547,true,0.021152
B,Heuristic,ascii,95,3,random,",L]",7266,false,0.000117
B,BruteForce,ascii,95,3,random,">yh",742433,true,0.024009
B,Heuristic,ascii,95,3,random,">yh",7266,false,0.000114
B,BruteForce,ascii,95,3,random,"N[:",369153,true,0.011963
B,Heuristic,ascii,95,3,random,"N[:",7266,false,0.000114
short_predictable,BruteForce,lowercase,26,3,predictable,"cat",2074,true,0.000068
short_predictable,Heuristic,lowercase,26,3,predictable,"cat",7266,false,0.000112
short_predictable,BruteForce,lowercase,26,3,predictable,"sun",13404,true,0.000449
short_predictable,Heuristic,lowercase,26,3,predictable,"sun",7266,false,0.000112
short_predictable,BruteForce,lowercase,26,4,predictable,"moon",239032,true,0.009277
short_predictable,Heuristic,lowercase,26,4,predictable,"moon",7266,false,0.000165
short_predictable,BruteForce,lowercase,26,5,predictable,"hello",3752127,true,0.161078
short_predictable,Heuristic,lowercase,26,5,predictable,"hello",1527,true,0.000140
short_predictable,BruteForce,lowercase,26,5,predictable,"admin",536316,true,0.021020
short_predictable,Heuristic,lowercase,26,5,predictable,"admin",1653,true,0.000097
short_predictable,BruteForce,lowercase,26,5,predictable,"login",5752332,true,0.250615
short_predictable,Heuristic,lowercase,26,5,predictable,"login",3879,true,0.000223
realistic_predictable,Heuristic,ascii,95,9,predictable,"password1",2,true,0.000004
realistic_predictable,BruteForce,ascii,95,9,predictable,"password1",2000000,false,0.073167
realistic_predictable,Heuristic,ascii,95,8,predictable,"H3llo123",1614,true,0.000100
realistic_predictable,BruteForce,ascii,95,8,predictable,"H3llo123",2000000,false,0.108600
realistic_predictable,Heuristic,ascii,95,8,predictable,"p@ssw0rd",267,true,0.000009
realistic_predictable,BruteForce,ascii,95,8,predictable,"p@ssw0rd",2000000,false,0.117569
realistic_predictable,Heuristic,ascii,95,8,predictable,"Welcome1",1948,true,0.000034
realistic_predictable,BruteForce,ascii,95,8,predictable,"Welcome1",2000000,false,0.037196
realistic_predictable,Heuristic,ascii,95,9,predictable,"qwerty123",2076,true,0.000038
realistic_predictable,BruteForce,ascii,95,9,predictable,"qwerty123",2000000,false,0.034588
realistic_predictable,Heuristic,ascii,95,8,predictable,"admin123",1656,true,0.000029
realistic_predictable,BruteForce,ascii,95,8,predictable,"admin123",2000000,false,0.034273
realistic_predictable,Heuristic,ascii,95,10,predictable,"dragon2024",2208,true,0.000038
realistic_predictable,BruteForce,ascii,95,10,predictable,"dragon2024",2000000,false,0.034966
realistic_predictable,Heuristic,ascii,95,7,predictable,"monkey!",2386,true,0.000041
realistic_predictable,BruteForce,ascii,95,7,predictable,"monkey!",2000000,false,0.039015
realistic_predictable,Heuristic,ascii,95,8,predictable,"letmein1",3194,true,0.000067
realistic_predictable,BruteForce,ascii,95,8,predictable,"letmein1",2000000,false,0.038033
realistic_predictable,Heuristic,ascii,95,10,predictable,"Football99",2850,true,0.000055
realistic_predictable,BruteForce,ascii,95,10,predictable,"Football99",2000000,false,0.038986
